,uuid,segmentid,partitionDate,device,timestamp,filedate,filetimeutc,updateTimeMs,sequenceNo,vin,tripId,localTimeMs,engineTorque,engineCoolantTemp,engineAtmosphericPressure,fileVersionNumber,steeringSpeed,engineSpeed,steeringTorque,epsLoad,brakePressure,torqueControlModeFast,torqueControlModeSlow,parkBrakeStatus,warnStatusAcc,dimmerCancel,passenger2Belt,passengerOccupied,rearLeftBelt,rearCenterBelt,rearRightBelt,accWarning,accLsfEngage,accLsfSubseg,accControlMode,accCmbsSetting,fuelUsed,lkasReady,lkasShowLane,cabinTemp,warnStatusParking,warnStatusCmbs,warnStatusEbd,engineIntakeAirTemp,compCurrent,fogLightRelay,engineEcompNe,airbagStatus,latAccel,accelPedalPos,cruiseOverride,cruiseEngaged,wheelVelLF,wheelVelRF,wheelVelLR,wheelVelRR,panicBrkAct,accStatus,odometerMiles,pasgSeatbelt,driverSeatbelt,pasgSeated,accSetSpeed,cruiseSetSpeed,tirePressureLF,tirePressureRF,tirePressureLR,tirePressureRR,outsideAirTemp,fogLightsOn,stabilityControlActEDR,tcuTrqConfCl2,engAccCancelReasonManual,tmDisplayedGear,absWheelSpeedFL,absWheelSpeedFR,absWheelSpeedRL,absWheelSpeedRR,timestamp_hr,updateTimeMs_hr
100,164104244876910103077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042448769,20220101,130718,1668774677451792,101,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47248769,-15.8,18,727.745,2,0,1153,0.22600001,0.2,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.3,False,False,0,False,False,False,0,0,False,0,False,0.04807516,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,11.0,0.0,34,34,33,33,11.0,True,False,0,False,4,11.2,11.24,11.5199995,11.4,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451791992
101,164104244886910203077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042448869,20220101,130718,1668774677451797,102,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47248869,-14.400001,18,727.745,2,-34,1146,0.22600001,0.2,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.3,False,False,0,False,False,False,0,0,False,0,False,0.33518714,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,11.0,0.0,34,34,33,33,11.0,True,False,0,False,4,11.2,11.24,11.5199995,11.4,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451797119
102,164104244896910303077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042448969,20220101,130718,1668774677451800,103,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47248969,-13.400001,18,727.745,2,-1,1142,0.22600001,0.2,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.3,False,False,0,False,False,False,0,0,False,0,False,-0.28688884,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,11.0,0.0,34,34,33,33,11.0,True,False,0,False,4,11.2,11.24,11.5199995,11.4,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451800049
103,164104244906910403077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449069,20220101,130718,1668774677451804,104,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249069,-12.6,18,727.745,2,0,1132,-0.10300001,0.4,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.8,False,False,0,False,False,False,0,0,False,0,False,0.00022315979,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,10.0,0.0,34,34,33,33,11.0,True,False,0,False,4,10.07,10.12,9.98,10.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451803955
104,164104244916910503077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449169,20220101,130718,1668774677451808,105,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249169,-11.6,18,727.745,2,11,1118,-0.10300001,0.4,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.8,False,False,0,False,False,False,0,0,False,0,False,-0.19118483,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,10.0,0.0,34,34,33,33,11.0,True,False,0,False,4,10.07,10.12,9.98,10.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451808105
105,164104244926910603077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449269,20220101,130718,1668774677451812,106,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249269,-10.0,18,727.745,2,-7,1104,-0.10300001,0.4,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.8,False,False,0,False,False,False,0,0,False,0,False,0.19163115,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,10.0,0.0,34,34,33,33,11.0,True,False,0,False,4,10.07,10.12,9.98,10.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451812012
106,164104244936910703077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449369,20220101,130718,1668774677451815,107,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249369,-9.400001,18,727.745,2,-1,1099,-0.10300001,0.4,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.8,False,False,0,False,False,False,0,0,False,0,False,0.00022315979,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,10.0,0.0,34,34,33,33,11.0,True,False,0,False,4,10.07,10.12,9.98,10.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451814941
107,164104244946910803077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449469,20220101,130718,1668774677451819,108,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249469,-8.2,18,727.745,2,-9,1087,-0.10300001,0.4,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,50.8,False,False,0,False,False,False,0,0,False,0,False,0.00022315979,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,10.0,0.0,34,34,33,33,11.0,True,False,0,False,4,10.07,10.12,9.98,10.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451819092
108,164104244956910903077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449569,20220101,130718,1668774677451823,109,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249569,-7.6,18,727.745,2,-22,1079,-0.91300005,1.6,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,51.3,False,False,0,False,False,False,0,0,False,0,False,-0.09548084,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,9.0,0.0,34,34,33,33,11.0,True,False,0,False,4,9.19,9.19,9.13,9.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451822998
109,164104244966911003077,40119a362475ed3d4de98b555786d973,2022-01-01,3077,1641042449669,20220101,130718,1668774677451830,110,663fd3c5144fd10bd5ca6611a9a5b92d,307720220101130718,47249669,-6.2000003,18,727.745,2,-19,1065,-0.91300005,1.6,0.0,0,0,False,False,False,False,False,False,False,False,False,False,0,False,0,51.3,False,False,0,False,False,False,0,0,False,0,False,0.00022315979,0,False,False,0.0,0.0,0.0,0.0,False,0,49621.44,False,False,False,9.0,0.0,34,34,33,33,11.0,True,False,0,False,4,9.19,9.19,9.13,9.059999,2022-01-01 13:06:51.520,2022-11-18 12:31:17.451830078
