,uuid,segmentid,partitionDate,device,timestamp,filedate,filetimeutc,updateTimeMs,sequenceNo,vin,tripId,utctime,startlocaltime,endlocaltime,swversionmaj,swversionmin,startlatitude,startlongitude,endlatitude,endlongitude,startodometer,numBSMTx,numGNSSOutages,numCANOutages,firmwareVersionString,configsVersionString,fullMediaVersionString,deltaMediaVersionString,pluginsVersionString,totalStorageOnDevice,storageUsed,configVersion,endodometer,numNormalBSMRx,numShadowBSMRx,numSPATRx,numWarnings,numInforms,numIntersectionEncounters,timestamp_hr,updateTimeMs_hr,startlocaltime_hr,endlocaltime_hr
100,1641127821557110423,db7b933743e0bf842e992a6776b4b11c,2022-01-02,10423,1641127821557,20220102,125021,1668774746159946,1,99e314b1b43706773153e7ef375fc68c,1042320220102125021,1641127821557,46221557,46245256,,,,,,,,0,0,0,TOYOTA-THEA-C-V1.5,00,TOYOTA-THEA-C-V1.5,0,00,12385,39,0,,0,0,0,0,0,255,2022-01-02 12:51:10.464,2022-11-18 12:32:26.159946045,2022-01-02 17:50:21.557,2022-01-02 17:50:45.256
101,1641128802967110423,99bfe89e9b9fa5062ff7a654535cd44a,2022-01-02,10423,1641128802967,20220102,130642,1668774749177975,1,99e314b1b43706773153e7ef375fc68c,1042320220102130642,1641128802967,47202967,47869221,,,,,35.58700384474746,-82.48789886574752,,4896,1,1,TOYOTA-THEA-C-V1.5,00,TOYOTA-THEA-C-V1.5,0,00,12385,38,0,0.0,0,0,0,0,0,0,2022-01-02 13:06:27.968,2022-11-18 12:32:29.177975098,2022-01-02 18:06:42.967,2022-01-02 18:17:49.221
102,1641130514189110032,09a7d7eb17c2ed0909d98604de3e3398,2022-01-02,10032,1641130514189,20220102,133514,1668775067601613,1,c63a5650dcd0bf04b35bd712466010bc,1003220220102133514,1641130514189,48914189,49277473,,,,,27.81452173066001,-82.31289095681653,,3142,0,0,HONDA-THEA-C-V1.5,HONDA-THEA-C-V1.5.2,HONDA-THEA-C-V1.5,0,00,12385,50,0,0.0,0,0,0,0,0,0,2022-01-02 13:34:51.904,2022-11-18 12:37:47.601613037,2022-01-02 18:35:14.189,2022-01-02 18:41:17.473
103,1641131051931110422,bea0cbde058185aeb9dcb15cb04abbc6,2022-01-02,10422,1641131051931,20220102,134411,1668775042763292,1,67388f1834f7d6243b753ec33584a8df,1042220220102134411,1641131051931,49451931,49900210,,,,,27.937945440220727,-82.50087668181662,,4276,0,0,TOYOTA-THEA-C-V1.5,00,TOYOTA-THEA-C-V1.5,0,00,12385,36,0,0.0,0,0,0,0,0,0,2022-01-02 13:43:36.192,2022-11-18 12:37:22.763291992,2022-01-02 18:44:11.931,2022-01-02 18:51:40.210
104,1641131954193110049,bfe00e00e26191e106b36588c70d3dcc,2022-01-02,10049,1641131954193,20220102,135914,1668775054813112,1,1759e864edd6cb2200926b3a2f729dac,1004920220102135914,1641131954193,50354193,51547474,,,,,33.484730399182965,-80.46882198817687,,11364,0,0,HONDA-THEA-C-V1.5,HONDA-THEA-C-V1.5.2,HONDA-THEA-C-V1.5,0,00,12385,51,0,0.0,0,0,0,0,0,0,2022-01-02 13:58:53.696,2022-11-18 12:37:34.813112061,2022-01-02 18:59:14.193,2022-01-02 19:19:07.474
105,1641131997049110412,0ee19841682e4d626d7795941f89fb58,2022-01-02,10412,1641131997049,20220102,135957,1668775069944682,1,1b6171ff276542bd344c1600aaca6165,1041220220102135957,1641131997049,50397049,52036412,,,,,27.907611993103504,-82.25651486616935,,13137,1,1,TOYOTA-THEA-C-V1.5,00,TOYOTA-THEA-C-V1.5,0,00,12385,36,0,0.0,0,0,1999,0,0,10,2022-01-02 13:58:53.696,2022-11-18 12:37:49.944681885,2022-01-02 18:59:57.049,2022-01-02 19:27:16.412
106,1641132752169110014,277e9c33bb37f0fd2a5c06d65e89b894,2022-01-02,10014,1641132752169,20220102,141232,1668774740857576,1,7b9d31aa17b849b238ab79cef0733041,1001420220102141232,1641132752169,51152169,51873356,,,,,27.93337381854442,-82.29570683891508,,6659,0,0,HONDA-THEA-C-V1.5,HONDA-THEA-C-V1.5.1,HONDA-THEA-C-V1.5,0,00,12385,50,0,0.0,34,0,0,0,0,0,2022-01-02 14:12:00.128,2022-11-18 12:32:20.857575928,2022-01-02 19:12:32.169,2022-01-02 19:24:33.356
107,1641133639169110049,d0921a51d5870d7eba639c5228d8b90f,2022-01-02,10049,1641133639169,20220102,142719,1668774741970705,1,1759e864edd6cb2200926b3a2f729dac,1004920220102142719,1641133639169,52039169,68398269,,,33.484689480955204,-80.46864574983597,30.2854040620442,-81.98383057068705,0.0,163496,0,0,HONDA-THEA-C-V1.5,HONDA-THEA-C-V1.5.2,HONDA-THEA-C-V1.5,0,00,12385,50,0,0.0,0,0,0,0,0,0,2022-01-02 14:27:17.632,2022-11-18 12:32:21.970705078,2022-01-02 19:27:19.169,2022-01-02 23:59:58.269
108,1641134538727103044,45120c1c0931efb296f7c314e84f8da9,2022-01-02,3044,1641134538727,20220102,144218,1668775018202911,1,b8af7d0fbf094517781e0382102d7b27,304420220102144218,1641134538727,52938727,53338721,,,,,40.09836169183848,-83.11578116906259,,2846,0,51,HONDA-HSC-C-V1.13,HONDA-HSC-C-V1.13r2,HONDA-HSC-C-V1.11r1,0,HONDA-HSC-C-V1.13r2,5038,251,0,21613939.0,0,0,0,0,0,0,2022-01-02 14:42:35.136,2022-11-18 12:36:58.202910889,2022-01-02 19:42:18.727,2022-01-02 19:48:58.721
109,1641135160097110038,f1ed12ff5605eafe9175bae59834f6ea,2022-01-02,10038,1641135160097,20220102,145240,1668775040693593,1,0f6b1f657ac30ab76519ed4c677e9909,1003820220102145240,1641135160097,53560097,55303250,,,,,27.901826787485646,-82.31764748002891,,17145,0,0,HONDA-THEA-C-V1.5,HONDA-THEA-C-V1.5.2,HONDA-THEA-C-V1.5,0,00,12385,50,0,0.0,0,0,0,0,0,0,2022-01-02 14:53:30.496,2022-11-18 12:37:20.693593018,2022-01-02 19:52:40.097,2022-01-02 20:21:43.250
